Generations,Fitness,Treatment
1,0.014127,R4_Rough
2,0.017314,R4_Rough
3,0.017314,R4_Rough
4,0.017314,R4_Rough
5,0.019265,R4_Rough
6,0.019265,R4_Rough
7,0.019265,R4_Rough
8,0.019265,R4_Rough
9,0.019935001,R4_Rough
10,0.019935001,R4_Rough
11,0.019935001,R4_Rough
12,0.019935001,R4_Rough
13,0.019935001,R4_Rough
14,0.019935001,R4_Rough
15,0.019935001,R4_Rough
16,0.019935001,R4_Rough
17,0.019951001,R4_Rough
18,0.019951001,R4_Rough
19,0.022131,R4_Rough
20,0.022131,R4_Rough
21,0.022131,R4_Rough
22,0.022131,R4_Rough
23,0.022131,R4_Rough
24,0.022131,R4_Rough
25,0.022131,R4_Rough
26,0.022131,R4_Rough
27,0.022131,R4_Rough
28,0.022131,R4_Rough
29,0.022131,R4_Rough
30,0.022131,R4_Rough
31,0.022131,R4_Rough
32,0.022131,R4_Rough
33,0.022131,R4_Rough
34,0.022131,R4_Rough
35,0.022131,R4_Rough
36,0.022131,R4_Rough
37,0.022131,R4_Rough
38,0.022131,R4_Rough
39,0.022131,R4_Rough
40,0.022131,R4_Rough
41,0.022131,R4_Rough
42,0.022131,R4_Rough
43,0.022131,R4_Rough
44,0.022131,R4_Rough
45,0.022131,R4_Rough
46,0.022131,R4_Rough
47,0.022131,R4_Rough
48,0.022131,R4_Rough
49,0.022131,R4_Rough
1,0.014005,R4_Smooth
2,0.017405,R4_Smooth
3,0.017405,R4_Smooth
4,0.017405,R4_Smooth
5,0.019663,R4_Smooth
6,0.019663,R4_Smooth
7,0.019663,R4_Smooth
8,0.019663,R4_Smooth
9,0.019663,R4_Smooth
10,0.019663,R4_Smooth
11,0.019663,R4_Smooth
12,0.019663,R4_Smooth
13,0.019663,R4_Smooth
14,0.019663,R4_Smooth
15,0.019663,R4_Smooth
16,0.019663,R4_Smooth
17,0.019663,R4_Smooth
18,0.019663,R4_Smooth
19,0.019663,R4_Smooth
20,0.019663,R4_Smooth
21,0.020679999,R4_Smooth
22,0.020679999,R4_Smooth
23,0.020679999,R4_Smooth
24,0.020679999,R4_Smooth
25,0.020679999,R4_Smooth
26,0.020679999,R4_Smooth
27,0.020679999,R4_Smooth
28,0.020679999,R4_Smooth
29,0.020679999,R4_Smooth
30,0.020679999,R4_Smooth
31,0.021088,R4_Smooth
32,0.021088,R4_Smooth
33,0.021088,R4_Smooth
34,0.021088,R4_Smooth
35,0.021088,R4_Smooth
36,0.021182001,R4_Smooth
37,0.023333,R4_Smooth
38,0.025566,R4_Smooth
39,0.025566,R4_Smooth
40,0.026216,R4_Smooth
41,0.026216,R4_Smooth
42,0.026216,R4_Smooth
43,0.026216,R4_Smooth
44,0.026216,R4_Smooth
45,0.026216,R4_Smooth
46,0.026893999,R4_Smooth
47,0.026893999,R4_Smooth
48,0.026893999,R4_Smooth
49,0.026893999,R4_Smooth
1,0.017681999,R3_Rough
2,0.017681999,R3_Rough
3,0.017681999,R3_Rough
4,0.020130999,R3_Rough
5,0.020318,R3_Rough
6,0.020318,R3_Rough
7,0.020318,R3_Rough
8,0.020318,R3_Rough
9,0.020512,R3_Rough
10,0.020512,R3_Rough
11,0.020512,R3_Rough
12,0.020546,R3_Rough
13,0.020546,R3_Rough
14,0.020592,R3_Rough
15,0.020592,R3_Rough
16,0.020592,R3_Rough
17,0.020792,R3_Rough
18,0.020792,R3_Rough
19,0.020862,R3_Rough
20,0.020862,R3_Rough
21,0.020862,R3_Rough
22,0.021382,R3_Rough
23,0.021382,R3_Rough
24,0.021382,R3_Rough
25,0.021382,R3_Rough
26,0.021382,R3_Rough
27,0.021382,R3_Rough
28,0.021382,R3_Rough
29,0.021382,R3_Rough
30,0.021382,R3_Rough
31,0.021382,R3_Rough
32,0.021382,R3_Rough
33,0.021382,R3_Rough
34,0.021382,R3_Rough
35,0.021382,R3_Rough
36,0.021382,R3_Rough
37,0.021382,R3_Rough
38,0.021382,R3_Rough
39,0.021382,R3_Rough
40,0.021382,R3_Rough
41,0.021382,R3_Rough
42,0.021382,R3_Rough
43,0.021382,R3_Rough
44,0.021382,R3_Rough
45,0.021382,R3_Rough
46,0.021382,R3_Rough
47,0.021382,R3_Rough
48,0.02142,R3_Rough
49,0.02142,R3_Rough
1,0.013341,R3_Smooth
2,0.013496,R3_Smooth
3,0.01414,R3_Smooth
4,0.015761999,R3_Smooth
5,0.015813001,R3_Smooth
6,0.018072,R3_Smooth
7,0.01829,R3_Smooth
8,0.019959999,R3_Smooth
9,0.020865001,R3_Smooth
10,0.020865001,R3_Smooth
11,0.020865001,R3_Smooth
12,0.020865001,R3_Smooth
13,0.020865001,R3_Smooth
14,0.020865001,R3_Smooth
15,0.020865001,R3_Smooth
16,0.020865001,R3_Smooth
17,0.021366,R3_Smooth
18,0.021366,R3_Smooth
19,0.021366,R3_Smooth
20,0.021366,R3_Smooth
21,0.021366,R3_Smooth
22,0.021366,R3_Smooth
23,0.021366,R3_Smooth
24,0.021366,R3_Smooth
25,0.021366,R3_Smooth
26,0.021366,R3_Smooth
27,0.02146,R3_Smooth
28,0.02146,R3_Smooth
29,0.021539001,R3_Smooth
30,0.021539001,R3_Smooth
31,0.021539001,R3_Smooth
32,0.021539001,R3_Smooth
33,0.021539001,R3_Smooth
34,0.021808,R3_Smooth
35,0.022253999,R3_Smooth
36,0.022253999,R3_Smooth
37,0.022253999,R3_Smooth
38,0.022267999,R3_Smooth
39,0.022267999,R3_Smooth
40,0.022267999,R3_Smooth
41,0.022267999,R3_Smooth
42,0.022267999,R3_Smooth
43,0.022267999,R3_Smooth
44,0.022495,R3_Smooth
45,0.022495,R3_Smooth
46,0.022495,R3_Smooth
47,0.022495,R3_Smooth
48,0.022495,R3_Smooth
49,0.022495,R3_Smooth